Sum of Precip (inches),Month,,,,,,,,,,,,
Year ,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
2003,0.09,1.52,5.44,2.79,2.62,2.69,0.71,3.52,0.35,0.45,0.8,0.84,21.82
2004,0.96,1.31,1.09,5.54,1.28,3.96,3.44,2.88,2.07,2.32,1.99,0.35,27.19
2005,1.4,0.31,1.22,3.66,1.91,2.68,0.42,1.63,0.42,2.8,0.34,0.43,17.22
2006,0.44,0.68,2.08,1.04,1.14,1.32,2.63,1.23,1.25,3.71,0.74,3.05,19.31
2007,1.68,0.86,1.69,2.24,1.79,0.38,0.8,1.82,1.92,1.38,0.47,2.1,17.13
2008,0.46,0.63,1.47,1.13,4.21,1.58,0.09,2.97,1.84,1.18,0.13,1.33,17.02
2009,0.62,0.27,1.89,5.88,3.08,2.69,1.42,0.33,0.42,3.26,0.93,1.39,22.18
2010,0.27,1.37,3.3,3.63,2.71,3.36,2.31,1.28,0.25,0.94,0.61,0.48,20.51
2011,0.96,1.02,0.42,2.39,5.16,1.29,2.9,1.08,2.56,1.65,0.95,1.92,22.3
2012,0.38,1.94,0.01,1.31,1.78,0.38,4.99,0.36,2.27,1.44,0.28,0.51,15.65
2013,0.27,1.13,1.72,4.14,2.66,0.61,1.03,1.4,18.16,2.24,0.29,0.5,34.15
2014,1.67,0.68,1.62,1.87,4.43,0.84,4.57,1.6,,,,,17.28
Grand Total,70.83,89.54,191.82,311.83,349.22,220.61,216.46,184.23,193.75,175.67,116.82,89.03,2209.81
